Location	Start Time
Corrientes, Argentina	2015-11-14T12:00:00Z
Melbourne, Australia	2015-11-13T21:30:00Z
Vienna, Austria	2015-11-14T08:00:00Z
Dhaka, Bangladesh	2015-11-14T03:00:00Z
Minsk, Belarus	2015-11-14T07:00:00Z
Mogilev, Belarus	2015-11-14T06:00:00Z
Vitebsk, Belarus	2015-11-14T06:00:00Z
Fortaleza, Brazil	2015-11-14T12:00:00Z
Calgary, Canada	2015-11-14T16:00:00Z
Toronto, Canada	2015-11-14T14:00:00Z
Winnipeg, Canada	2015-11-14T14:30:00Z
Santiago, Chile	2015-11-14T12:00:00Z
Beijing, China	2015-11-14T01:00:00Z
Chengdu, China	2015-11-14T01:30:00Z
Shanghai, China	2015-11-14T01:00:00Z
Shenzhen, China	2015-11-14T01:00:00Z
Taiyuan, China	2015-11-14T01:00:00Z
Xi'an, China	2015-11-14T01:00:00Z
Bogotá, Colombia	2015-11-14T14:00:00Z
Tres Ríos, Costa Rica	2015-11-14T15:00:00Z
Zagreb, Croatia	2015-11-14T08:00:00Z
Brno, Czech Republic	2015-11-14T08:00:00Z
Jihlava, Czech Republic	2015-11-14T08:00:00Z
Olomouc, Czech Republic	2015-11-14T06:00:00Z
Prague, Czech Republic	2015-11-14T08:00:00Z
Lille, France	2015-11-14T08:00:00Z
Lyon, France	2015-11-14T08:00:00Z
Paris, France	2015-11-14T08:00:00Z
Berlin, Germany	2015-11-14T08:00:00Z
Bielefeld, Germany	2015-11-14T08:00:00Z
Braunschweig, Germany	2015-11-14T08:00:00Z
Erlangen, Germany	2015-11-14T08:00:00Z
Erlangen, Germany	2015-11-14T08:00:00Z
Essen, Germany	2015-11-14T08:00:00Z
Frankfurt am Main, Germany	2015-11-14T08:00:00Z
Fulda, Germany	2015-11-14T08:00:00Z
Karlsruhe, Germany	2015-11-14T08:00:00Z
Lübeck, Germany	2015-11-14T07:00:00Z
Munich, Germany	2015-11-14T08:00:00Z
Nürnberg, Germany	2015-11-14T08:00:00Z
Osnabrück, Germany	2015-11-14T08:00:00Z
Solingen, Germany	2015-11-14T08:00:00Z
Weinsberg, Germany	2015-11-14T08:00:00Z
Thessaloniki, Greece	2015-11-14T07:00:00Z
Debrecen, Hungary	2015-11-14T08:00:00Z
Bangalore, India	2015-11-14T03:30:00Z
Hyderabad, India	2015-11-14T03:30:00Z
Mumbai, India	2015-11-14T03:30:00Z
Pune, India	2015-11-14T03:30:00Z
Dublin, Ireland	2015-11-14T09:00:00Z
Tel Aviv, Israel	2015-11-14T07:00:00Z
Milan, Italy	2015-11-14T08:00:00Z
Osaka, Japan	2015-11-14T00:00:00Z
Karaganda, Kazakhstan	2015-11-14T03:00:00Z
Riga, Latvia	2015-11-14T07:00:00Z
Kaunas, Lithuania	2015-11-14T07:00:00Z
Vilnius, Lithuania	2015-11-14T07:00:00Z
Skopje, Macedonia	2015-11-14T08:00:00Z
Mazatlan, Mexico	2015-11-14T16:00:00Z
Oaxaca, Mexico	2015-11-14T15:00:00Z
Aguascalientes, Mexico	2015-11-14T15:00:00Z
Arnhem, Netherlands	2015-11-14T08:30:00Z
Auckland, New Zealand	2015-11-13T20:00:00Z
Auckland, New Zealand	2015-11-13T20:00:00Z
Lima, Perú	2015-11-14T14:00:00Z
Gdansk, Poland	2015-11-14T08:00:00Z
Katowice, Silesia, Poland	2015-11-14T08:00:00Z
Kraków, Poland	2015-11-14T08:00:00Z
Poznań, Poland	2015-11-14T08:00:00Z
Warsaw, Poland	2015-11-14T10:00:00Z
Warsaw, Poland	2015-11-14T08:00:00Z
Wroclaw, Poland	2015-11-14T08:00:00Z
Łódź, Poland	2015-11-14T08:00:00Z
Brasov, Romania	2015-11-14T07:00:00Z
Bucharest, Romania	2015-11-14T07:00:00Z
Cluj-Napoca, Romania	2015-11-14T07:00:00Z
Sibiu, Romania	2015-11-14T07:00:00Z
Timisoara, Romania	2015-11-14T07:00:00Z
Moscow, Russia	2015-11-14T06:00:00Z
Saint-Petersburg, Russia	2015-11-14T06:00:00Z
Belgrade, Serbia	2015-11-14T08:00:00Z
Singapore, Singapore	2015-11-14T01:00:00Z
Bratislava, Slovakia	2015-11-14T08:00:00Z
Cape Town, South Africa	2015-11-14T07:00:00Z
Durban, South Africa	2015-11-14T06:00:00Z
Johannesburg, South Africa	2015-11-14T07:00:00Z
Alicante, Spain	2015-11-14T08:00:00Z
Barcelona, Spain	2015-11-14T08:00:00Z
Gran Canaria, Spain	2015-11-14T09:00:00Z
Logroño, Spain	2015-11-14T08:00:00Z
Madrid, Spain	2015-11-14T08:00:00Z
Ourense, Spain	2015-11-14T09:00:00Z
Valencia, Spain	2015-11-14T08:00:00Z
Zaragoza, Spain	2015-11-14T08:00:00Z
Gothenburg, Sweden	2015-11-14T08:00:00Z
Stockholm, Sweden	2015-11-14T07:45:00Z
Stockholm, Sweden	2015-11-14T08:00:00Z
Bern, Switzerland	2015-11-14T08:00:00Z
St. Gallen, Switzerland	2015-11-14T08:00:00Z
Zurich, Switzerland	2015-11-14T08:00:00Z
Istanbul, Turkey	2015-11-14T06:30:00Z
Istanbul, Turkey	2015-11-14T08:00:00Z
Glasgow, UK	2015-11-14T09:00:00Z
London, UK	2015-11-14T09:00:00Z
London, UK	2015-11-14T10:00:00Z
London, UK	2015-11-14T09:00:00Z
Peterborough, UK	2015-11-14T09:00:00Z
Ann Arbor, MI, USA	2015-11-14T14:00:00Z
Arlington, VA, USA	2015-11-14T14:00:00Z
Ashburn, VA, USA	2015-11-14T14:00:00Z
Atlanta, GA, USA	2015-11-14T14:00:00Z
Austin, TX, USA	2015-11-14T15:00:00Z
Bend, OR, USA	2015-11-14T16:30:00Z
Boston, MA, USA	2015-11-14T14:00:00Z
Chicago, IL, USA	2015-11-14T15:00:00Z
Cleveland, OH, USA	2015-11-14T14:00:00Z
Columbia, MD, USA	2015-11-14T14:00:00Z
Columbus, OH, USA	2015-11-14T14:00:00Z
Denver, CO, USA	2015-11-14T16:00:00Z
Des Moines, IA, USA	2015-11-14T15:00:00Z
Honolulu, HI, USA	2015-11-14T19:00:00Z
Lehi, UT, USA	2015-11-14T16:00:00Z
Los Angeles, CA, USA	2015-11-14T17:00:00Z
New York City, NY, USA	2015-11-14T14:00:00Z
Omaha, NE, USA	2015-11-14T15:00:00Z
Parsippany, NJ, USA	2015-11-14T14:00:00Z
Pittsburgh, PA, USA	2015-11-14T14:00:00Z
Portland, OR, USA	2015-11-14T16:30:00Z
Redmond, WA, USA	2015-11-14T16:30:00Z
San Diego, CA, USA	2015-11-14T17:00:00Z
San Jose, CA, USA	2015-11-14T17:00:00Z
Tampa/St. Petersburg, FL, USA	2015-11-14T14:00:00Z
Kyiv, Ukraine	2015-11-14T08:30:00Z
Lviv, Ukraine	2015-11-14T07:00:00Z
Hangzhou, China	2015-11-14T01:00:00Z
Brest, Belarus	2015-11-14T06:00:00Z
Grodno, Belarus	2015-11-14T06:00:00Z
Dresden, Germany	2015-11-14T08:00:00Z
Medford, MA, USA	2015-11-14T15:00:00Z
Gomel, Belarus	2015-11-14T06:00:00Z
Beijing, China	2015-11-14T01:00:00Z
Manila, Philippines	2015-11-14T00:00:00Z
Manizales, Colombia	2015-11-14T13:00:00Z
Guadalajara, Mexico	2015-11-14T15:00:00Z
Brisbane, Australia	2015-11-13T23:00:00Z
Cambridge, UK	2015-11-14T09:00:00Z
Chengdu, China	2015-11-14T01:30:00Z
Malmö, Sweden	2015-11-14T08:30:00Z
Brussels, Belgium	2015-11-14T08:00:00Z
London, UK	2015-11-14T08:00:00Z
Charlottetown, PEI, Canada	2015-11-14T12:00:00Z
Quito, Ecuador	2015-11-14T14:00:00Z
Wellington, New Zealand	2015-11-13T19:30:00Z
Kraków, Poland	2015-11-14T08:00:00Z

